provincia,anio,variable,valor
Badajoz,2022,renta_neta_media_por_persona_eur,11158
Badajoz,2023,renta_bruta_media_por_hogar_eur,34256
Badajoz,2023,renta_bruta_media_por_persona_eur,14142
Badajoz,2023,renta_media_por_unidad_consumo_eur,17700
Badajoz,2023,renta_mediana_por_unidad_consumo_eur,15750
Badajoz,2023,renta_neta_media_por_hogar_eur,29231
Badajoz,2023,renta_neta_media_por_persona_eur,12068
"Balears, Illes",2015,renta_bruta_media_por_hogar_eur,37416
"Balears, Illes",2015,renta_bruta_media_por_persona_eur,13568
"Balears, Illes",2015,renta_media_por_unidad_consumo_eur,17391
"Balears, Illes",2015,renta_mediana_por_unidad_consumo_eur,15050
"Balears, Illes",2015,renta_neta_media_por_hogar_eur,30921
"Balears, Illes",2015,renta_neta_media_por_persona_eur,11213
"Balears, Illes",2016,renta_bruta_media_por_hogar_eur,39444
"Balears, Illes",2016,renta_bruta_media_por_persona_eur,13965
"Balears, Illes",2016,renta_media_por_unidad_consumo_eur,17933
"Balears, Illes",2016,renta_mediana_por_unidad_consumo_eur,15050
"Balears, Illes",2016,renta_neta_media_por_hogar_eur,32447
"Balears, Illes",2016,renta_neta_media_por_persona_eur,11488
"Balears, Illes",2017,renta_bruta_media_por_hogar_eur,41696
"Balears, Illes",2017,renta_bruta_media_por_persona_eur,15092
"Balears, Illes",2017,renta_media_por_unidad_consumo_eur,19106
"Balears, Illes",2017,renta_mediana_por_unidad_consumo_eur,16450
"Balears, Illes",2017,renta_neta_media_por_hogar_eur,33972
"Balears, Illes",2017,renta_neta_media_por_persona_eur,12297
"Balears, Illes",2018,renta_bruta_media_por_hogar_eur,44083
"Balears, Illes",2018,renta_bruta_media_por_persona_eur,15907
"Balears, Illes",2018,renta_media_por_unidad_consumo_eur,20117
"Balears, Illes",2018,renta_mediana_por_unidad_consumo_eur,17150
"Balears, Illes",2018,renta_neta_media_por_hogar_eur,35728
"Balears, Illes",2018,renta_neta_media_por_persona_eur,12893
"Balears, Illes",2019,renta_bruta_media_por_hogar_eur,45904
"Balears, Illes",2019,renta_bruta_media_por_persona_eur,16492
"Balears, Illes",2019,renta_media_por_unidad_consumo_eur,20823
"Balears, Illes",2019,renta_mediana_por_unidad_consumo_eur,17850
"Balears, Illes",2019,renta_neta_media_por_hogar_eur,37375
"Balears, Illes",2019,renta_neta_media_por_persona_eur,13428
"Balears, Illes",2020,renta_bruta_media_por_hogar_eur,42110
"Balears, Illes",2020,renta_bruta_media_por_persona_eur,15226
"Balears, Illes",2020,renta_media_por_unidad_consumo_eur,19366
"Balears, Illes",2020,renta_mediana_por_unidad_consumo_eur,16450
"Balears, Illes",2020,renta_neta_media_por_hogar_eur,34531
"Balears, Illes",2020,renta_neta_media_por_persona_eur,12486
"Balears, Illes",2021,renta_bruta_media_por_hogar_eur,45755
"Balears, Illes",2021,renta_bruta_media_por_persona_eur,16698
"Balears, Illes",2021,renta_media_por_unidad_consumo_eur,20936
"Balears, Illes",2021,renta_mediana_por_unidad_consumo_eur,17850
"Balears, Illes",2021,renta_neta_media_por_hogar_eur,36905
"Balears, Illes",2021,renta_neta_media_por_persona_eur,13468
"Balears, Illes",2022,renta_bruta_media_por_hogar_eur,51019
"Balears, Illes",2022,renta_bruta_media_por_persona_eur,18524
"Balears, Illes",2022,renta_media_por_unidad_consumo_eur,22928
"Balears, Illes",2022,renta_mediana_por_unidad_consumo_eur,19950
"Balears, Illes",2022,renta_neta_media_por_hogar_eur,40597
"Balears, Illes",2022,renta_neta_media_por_persona_eur,14740
"Balears, Illes",2023,renta_bruta_media_por_hogar_eur,56349
"Balears, Illes",2023,renta_bruta_media_por_persona_eur,20267
"Balears, Illes",2023,renta_media_por_unidad_consumo_eur,24556
"Balears, Illes",2023,renta_mediana_por_unidad_consumo_eur,21350
"Balears, Illes",2023,renta_neta_media_por_hogar_eur,44812
"Balears, Illes",2023,renta_neta_media_por_persona_eur,16118
Barcelona,2015,renta_bruta_media_por_hogar_eur,41240
Barcelona,2015,renta_bruta_media_por_persona_eur,15766
Barcelona,2015,renta_media_por_unidad_consumo_eur,19475
Barcelona,2015,renta_mediana_por_unidad_consumo_eur,16450
Barcelona,2015,renta_neta_media_por_hogar_eur,33620
Barcelona,2015,renta_neta_media_por_persona_eur,12853
Barcelona,2016,renta_bruta_media_por_hogar_eur,42705
Barcelona,2016,renta_bruta_media_por_persona_eur,16324
Barcelona,2016,renta_media_por_unidad_consumo_eur,20076
Barcelona,2016,renta_mediana_por_unidad_consumo_eur,17150
Barcelona,2016,renta_neta_media_por_hogar_eur,34679
Barcelona,2016,renta_neta_media_por_persona_eur,13256
Barcelona,2017,renta_bruta_media_por_hogar_eur,43976
Barcelona,2017,renta_bruta_media_por_persona_eur,16889
Barcelona,2017,renta_media_por_unidad_consumo_eur,20615
Barcelona,2017,renta_mediana_por_unidad_consumo_eur,17850
Barcelona,2017,renta_neta_media_por_hogar_eur,35469
Barcelona,2017,renta_neta_media_por_persona_eur,13622
Barcelona,2018,renta_bruta_media_por_hogar_eur,46076
Barcelona,2018,renta_bruta_media_por_persona_eur,17659
Barcelona,2018,renta_media_por_unidad_consumo_eur,21512
Barcelona,2018,renta_mediana_por_unidad_consumo_eur,18550
Barcelona,2018,renta_neta_media_por_hogar_eur,37044
Barcelona,2018,renta_neta_media_por_persona_eur,14198
Barcelona,2019,renta_bruta_media_por_hogar_eur,47799
Barcelona,2019,renta_bruta_media_por_persona_eur,18250
Barcelona,2019,renta_media_por_unidad_consumo_eur,22198
Barcelona,2019,renta_mediana_por_unidad_consumo_eur,19250
Barcelona,2019,renta_neta_media_por_hogar_eur,38386
Barcelona,2019,renta_neta_media_por_persona_eur,14656
Barcelona,2020,renta_bruta_media_por_hogar_eur,47473
Barcelona,2020,renta_bruta_media_por_persona_eur,18227
Barcelona,2020,renta_media_por_unidad_consumo_eur,22115
Barcelona,2020,renta_mediana_por_unidad_consumo_eur,19250
Barcelona,2020,renta_neta_media_por_hogar_eur,38226
Barcelona,2020,renta_neta_media_por_persona_eur,14676
Barcelona,2021,renta_bruta_media_por_hogar_eur,49646
Barcelona,2021,renta_bruta_media_por_persona_eur,19220
Barcelona,2021,renta_media_por_unidad_consumo_eur,23061
Barcelona,2021,renta_mediana_por_unidad_consumo_eur,19950
Barcelona,2021,renta_neta_media_por_hogar_eur,39511
Barcelona,2021,renta_neta_media_por_persona_eur,15297
Barcelona,2022,renta_bruta_media_por_hogar_eur,52640
Barcelona,2022,renta_bruta_media_por_persona_eur,20383
Barcelona,2022,renta_media_por_unidad_consumo_eur,24224
Barcelona,2022,renta_mediana_por_unidad_consumo_eur,20650
Barcelona,2022,renta_neta_media_por_hogar_eur,41594
Barcelona,2022,renta_neta_media_por_persona_eur,16105
Barcelona,2023,renta_bruta_media_por_hogar_eur,56212
Barcelona,2023,renta_bruta_media_por_persona_eur,21677
Barcelona,2023,renta_media_por_unidad_consumo_eur,25418
Barcelona,2023,renta_mediana_por_unidad_consumo_eur,22050
Barcelona,2023,renta_neta_media_por_hogar_eur,44243
Barcelona,2023,renta_neta_media_por_persona_eur,17062
Bizkaia,2015,renta_bruta_media_por_hogar_eur,40830
Bizkaia,2015,renta_bruta_media_por_persona_eur,16664
Bizkaia,2015,renta_media_por_unidad_consumo_eur,20569
Bizkaia,2015,renta_mediana_por_unidad_consumo_eur,18550
Bizkaia,2015,renta_neta_media_por_hogar_eur,34177
Bizkaia,2015,renta_neta_media_por_persona_eur,13949
Bizkaia,2016,renta_bruta_media_por_hogar_eur,41406
Bizkaia,2016,renta_bruta_media_por_persona_eur,17002
Bizkaia,2016,renta_media_por_unidad_consumo_eur,20937
Bizkaia,2016,renta_mediana_por_unidad_consumo_eur,18550
Bizkaia,2016,renta_neta_media_por_hogar_eur,34622
Bizkaia,2016,renta_neta_media_por_persona_eur,14216
Bizkaia,2017,renta_bruta_media_por_hogar_eur,42306
Bizkaia,2017,renta_bruta_media_por_persona_eur,17491
Bizkaia,2017,renta_media_por_unidad_consumo_eur,21474
Bizkaia,2017,renta_mediana_por_unidad_consumo_eur,19250
Bizkaia,2017,renta_neta_media_por_hogar_eur,35326
Bizkaia,2017,renta_neta_media_por_persona_eur,14605
Bizkaia,2018,renta_bruta_media_por_hogar_eur,43632
Bizkaia,2018,renta_bruta_media_por_persona_eur,18055
Bizkaia,2018,renta_media_por_unidad_consumo_eur,22061
Bizkaia,2018,renta_mediana_por_unidad_consumo_eur,19250
Bizkaia,2018,renta_neta_media_por_hogar_eur,36364
Bizkaia,2018,renta_neta_media_por_persona_eur,15047
Bizkaia,2019,renta_bruta_media_por_hogar_eur,45149
Bizkaia,2019,renta_bruta_media_por_persona_eur,18707
Bizkaia,2019,renta_media_por_unidad_consumo_eur,22756
Bizkaia,2019,renta_mediana_por_unidad_consumo_eur,19950
Bizkaia,2019,renta_neta_media_por_hogar_eur,37523
