comunidad_autonoma,provincia,indicador,anio,valor,variable,unidad
"Asturias, Principado de",Asturias,Porcentaje de población menor de 18 años,2016,13.2,pct_menor_18,porcentaje
"Asturias, Principado de",Asturias,Porcentaje de población española,2016,96.2,pct_poblacion_espanola,porcentaje
"Asturias, Principado de",Asturias,Tamaño medio del hogar,2016,2.3,tamano_medio_hogar,personas_por_hogar
"Asturias, Principado de",Asturias,Edad media de la población,2017,47.5,edad_media,años
"Asturias, Principado de",Asturias,Porcentaje de población de 65 y más años,2017,25.1,pct_65_mas,porcentaje
"Asturias, Principado de",Asturias,Porcentaje de hogares unipersonales,2017,32.1,pct_hogares_unipersonales,porcentaje
"Asturias, Principado de",Asturias,Porcentaje de población menor de 18 años,2017,13.2,pct_menor_18,porcentaje
"Asturias, Principado de",Asturias,Porcentaje de población española,2017,96.1,pct_poblacion_espanola,porcentaje
"Asturias, Principado de",Asturias,Tamaño medio del hogar,2017,2.3,tamano_medio_hogar,personas_por_hogar
"Asturias, Principado de",Asturias,Edad media de la población,2018,47.7,edad_media,años
"Asturias, Principado de",Asturias,Porcentaje de población de 65 y más años,2018,25.5,pct_65_mas,porcentaje
"Asturias, Principado de",Asturias,Porcentaje de hogares unipersonales,2018,32.6,pct_hogares_unipersonales,porcentaje
