codigo_provincia,provincia,sexo,anio,edad_original,edad,poblacion
02,Albacete,Mujeres,2016,9 años,9,1974
02,Albacete,Mujeres,2016,90 años,90,625
02,Albacete,Mujeres,2016,91 años,91,548
02,Albacete,Mujeres,2016,92 años,92,393
02,Albacete,Mujeres,2016,93 años,93,346
02,Albacete,Mujeres,2016,94 años,94,237
02,Albacete,Mujeres,2016,95 años,95,182
02,Albacete,Mujeres,2016,96 años,96,121
02,Albacete,Mujeres,2016,97 años,97,74
02,Albacete,Mujeres,2016,98 años,98,51
02,Albacete,Mujeres,2016,99 años,99,48
02,Albacete,Mujeres,2016,Todas las edades,,195964
02,Albacete,Total,2016,0 años,0,3452
02,Albacete,Total,2016,1 año,1,3533
02,Albacete,Total,2016,10 años,10,3855
02,Albacete,Total,2016,100 y más años,100,78
02,Albacete,Total,2016,11 años,11,3883
02,Albacete,Total,2016,12 años,12,4075
02,Albacete,Total,2016,13 años,13,3982
02,Albacete,Total,2016,14 años,14,3957
02,Albacete,Total,2016,15 años,15,4114
02,Albacete,Total,2016,16 años,16,4087
02,Albacete,Total,2016,17 años,17,4114
02,Albacete,Total,2016,18 años,18,4080
02,Albacete,Total,2016,19 años,19,4144
02,Albacete,Total,2016,2 años,2,3549
02,Albacete,Total,2016,20 años,20,4255
02,Albacete,Total,2016,21 años,21,4306
02,Albacete,Total,2016,22 años,22,4215
02,Albacete,Total,2016,23 años,23,4558
02,Albacete,Total,2016,24 años,24,4662
02,Albacete,Total,2016,25 años,25,4792
02,Albacete,Total,2016,26 años,26,4672
02,Albacete,Total,2016,27 años,27,4527
02,Albacete,Total,2016,28 años,28,4778
02,Albacete,Total,2016,29 años,29,4800
02,Albacete,Total,2016,3 años,3,3609
02,Albacete,Total,2016,30 años,30,4717
02,Albacete,Total,2016,31 años,31,4973
02,Albacete,Total,2016,32 años,32,5104
02,Albacete,Total,2016,33 años,33,5412
02,Albacete,Total,2016,34 años,34,5571
02,Albacete,Total,2016,35 años,35,5715
02,Albacete,Total,2016,36 años,36,5976
02,Albacete,Total,2016,37 años,37,6324
02,Albacete,Total,2016,38 años,38,6188
02,Albacete,Total,2016,39 años,39,6401
02,Albacete,Total,2016,4 años,4,3828
02,Albacete,Total,2016,40 años,40,6361
02,Albacete,Total,2016,41 años,41,6305
02,Albacete,Total,2016,42 años,42,6204
02,Albacete,Total,2016,43 años,43,6124
02,Albacete,Total,2016,44 años,44,6146
02,Albacete,Total,2016,45 años,45,6233
02,Albacete,Total,2016,46 años,46,6382
02,Albacete,Total,2016,47 años,47,6360
02,Albacete,Total,2016,48 años,48,6279
02,Albacete,Total,2016,49 años,49,6203
02,Albacete,Total,2016,5 años,5,3895
