codigo_ccaa,comunidad_autonoma,codigo_provincia,provincia,anio,poblacion_hombres,poblacion_mujeres,poblacion_total,pct_mujeres,razon_masculinidad
01,Andalucía,41,Sevilla,2022,952462,997096,1949558,51.144721008556814,95.52360053595642
01,Andalucía,41,Sevilla,2023,956407,1002987,1959394,51.18863281198166,95.35587201030522
01,Andalucía,41,Sevilla,2024,960265,1008359,1968624,51.22151309747316,95.23046851369403
01,Andalucía,41,Sevilla,2025,964221,1013443,1977664,51.244447995210514,95.14309142201387
07,Castilla y León,42,Soria,2021,44939,43857,88796,49.39073832154602,102.4671090133844
07,Castilla y León,42,Soria,2022,44754,43576,88330,49.333182384240914,102.70332293005325
07,Castilla y León,42,Soria,2023,45396,44132,89528,49.29407559646144,102.8641348681229
07,Castilla y León,42,Soria,2024,45733,44340,90073,49.22673831225784,103.14163283716735
07,Castilla y León,42,Soria,2025,45838,44345,90183,49.17223867025936,103.36678317735934
09,Cataluña,43,Tarragona,2021,411553,411882,823435,50.019977290253635,99.92012275360419
09,Cataluña,43,Tarragona,2022,415112,415794,830906,50.04103953997203,99.83597646911691
09,Cataluña,43,Tarragona,2023,423714,424878,848592,50.06858419593868,99.72603900413766
09,Cataluña,43,Tarragona,2024,430577,431167,861744,50.034232904435655,99.86316206945337
09,Cataluña,43,Tarragona,2025,438344,437186,875530,49.93386862814524,100.26487581944527
02,Aragón,44,Teruel,2021,68143,66116,134259,49.24511578367186,103.06582370379333
02,Aragón,44,Teruel,2022,68120,66012,134132,49.21420690066502,103.19335878325153
02,Aragón,44,Teruel,2023,68416,66630,135046,49.33874383543385,102.68047426084347
02,Aragón,44,Teruel,2024,68621,66688,135309,49.28570900679186,102.89857245681382
02,Aragón,44,Teruel,2025,69356,66735,136091,49.037041391421916,103.92747433880272
08,Castilla - La Mancha,45,Toledo,2021,357475,352925,710400,49.67975788288288,101.28922575618049
08,Castilla - La Mancha,45,Toledo,2022,360259,356050,716309,49.70620221161538,101.18213734026119
08,Castilla - La Mancha,45,Toledo,2023,367880,363232,731112,49.68212804604493,101.27962294071007
08,Castilla - La Mancha,45,Toledo,2024,373623,369542,743165,49.72543109538259,101.10433996676967
08,Castilla - La Mancha,45,Toledo,2025,379593,375488,755081,49.728174858061585,101.09324399181865
