codigo_provincia,provincia,anio,establecimientos_abiertos_estimados,grado_ocupacion_habitaciones_pct,grado_ocupacion_plazas_fin_semana_pct,grado_ocupacion_plazas_pct,habitaciones_estimadas,personal_empleado,plazas_estimadas
17,Girona,2024,546.3333333333334,57.998333333333335,60.8325,51.251666666666665,26294.833333333332,7584.666666666667,57776.583333333336
17,Girona,2025,532.75,59.50666666666666,63.02,53.280833333333334,26150.75,8078.916666666667,57217.333333333336
18,Granada,2015,421.3333333333333,53.53,59.339166666666664,48.41916666666666,15112.0,3312.75,31150.083333333332
18,Granada,2016,417.9166666666667,55.15833333333333,60.3375,49.73916666666667,15058.416666666666,3353.0833333333335,31226.583333333332
18,Granada,2017,400.75,57.23500000000001,62.78666666666667,51.92666666666667,14720.666666666666,3403.3333333333335,30580.25
18,Granada,2018,412.75,59.074999999999996,64.355,52.833333333333336,15321.0,3655.4166666666665,31877.916666666668
18,Granada,2019,397.75,61.961666666666666,65.39999999999999,55.0625,15242.583333333334,3610.0,31975.416666666668
18,Granada,2020,215.0,28.063333333333333,29.9025,23.964166666666667,8124.25,1518.5,17019.75
18,Granada,2021,278.3333333333333,38.33166666666667,41.770833333333336,32.62833333333334,10340.333333333334,1948.0833333333333,21678.083333333332
18,Granada,2022,362.1666666666667,52.90166666666667,58.36416666666667,46.98166666666666,14114.416666666666,3176.5,29564.333333333332
18,Granada,2023,373.8333333333333,57.4475,59.62583333333333,49.859166666666674,14168.333333333334,3383.0,30027.666666666668
18,Granada,2024,384.0,59.215,59.935,51.70083333333333,14623.166666666666,3716.0833333333335,31048.916666666668
18,Granada,2025,378.5833333333333,60.15166666666667,60.25666666666667,52.23833333333334,14721.0,3875.4166666666665,31575.166666666668
19,Guadalajara,2015,117.41666666666667,28.102500000000003,35.2425,24.78916666666667,2326.9166666666665,362.0833333333333,4456.916666666667
19,Guadalajara,2016,124.66666666666667,30.055833333333336,37.07416666666666,27.47083333333333,2400.0833333333335,379.5833333333333,4584.166666666667
19,Guadalajara,2017,123.41666666666667,32.80083333333334,39.39833333333333,29.261666666666667,2295.0,345.5,4401.333333333333
19,Guadalajara,2018,117.33333333333333,35.4275,40.28916666666667,31.746666666666666,2241.1666666666665,343.25,4312.25
19,Guadalajara,2019,110.5,34.45583333333333,40.59916666666667,31.166666666666668,2211.5,348.8333333333333,4277.25
19,Guadalajara,2020,85.58333333333333,21.96666666666667,19.359166666666667,17.962500000000002,1737.5,231.08333333333334,3356.8333333333335
19,Guadalajara,2021,97.33333333333333,27.894166666666667,28.839166666666667,23.334999999999997,2057.9166666666665,260.75,3951.1666666666665
19,Guadalajara,2022,93.66666666666667,38.20916666666667,41.274166666666666,32.541666666666664,2034.25,314.0,3943.4166666666665
19,Guadalajara,2023,98.16666666666667,39.199999999999996,40.19916666666666,31.866666666666664,2089.4166666666665,322.0,4058.4166666666665
19,Guadalajara,2024,98.91666666666667,39.455,40.9225,31.790833333333335,2107.8333333333335,366.5833333333333,4147.5
19,Guadalajara,2025,101.75,40.695,41.04833333333333,32.95333333333333,2223.6666666666665,488.25,4510.75
20,Gipuzkoa,2015,247.66666666666666,59.89166666666667,64.13666666666667,53.81583333333333,5356.916666666667,1535.5833333333333,9958.833333333334
20,Gipuzkoa,2016,263.0,63.26666666666667,65.635,55.843333333333334,5452.5,1610.4166666666667,10214.166666666666
20,Gipuzkoa,2017,284.25,63.612500000000004,64.89333333333333,55.76499999999999,5693.0,1670.9166666666667,10700.333333333334
20,Gipuzkoa,2018,281.4166666666667,65.05166666666666,65.79083333333334,56.81916666666667,5813.083333333333,1768.0,10979.916666666666
20,Gipuzkoa,2019,277.3333333333333,65.97500000000001,66.19333333333333,57.24583333333334,5848.0,1733.4166666666667,11158.5
20,Gipuzkoa,2020,192.41666666666666,32.8075,32.325833333333335,27.609166666666667,4072.0,1009.3333333333334,7776.833333333333
20,Gipuzkoa,2021,224.25,46.932500000000005,48.45666666666667,40.515,5303.75,1274.5,10207.833333333334
20,Gipuzkoa,2022,280.5833333333333,63.36000000000001,65.12,55.685833333333335,6443.583333333333,1693.5,12442.0
20,Gipuzkoa,2023,288.25,67.81916666666667,68.87583333333333,59.78333333333333,6613.75,1800.8333333333333,12807.666666666666
20,Gipuzkoa,2024,297.5833333333333,68.43666666666667,69.13333333333334,60.40833333333333,6813.25,1935.8333333333333,13433.666666666666
20,Gipuzkoa,2025,297.9166666666667,69.62583333333333,70.22583333333334,61.225833333333334,7342.333333333333,2168.6666666666665,14342.5
21,Huelva,2015,139.66666666666666,47.4125,47.35666666666666,40.305,8151.5,2236.5833333333335,19426.5
21,Huelva,2016,143.33333333333334,51.86333333333334,50.11083333333334,43.38166666666666,8887.0,2542.5,21155.083333333332
21,Huelva,2017,147.5,53.12083333333334,50.79,45.01916666666667,9114.083333333334,2610.1666666666665,21483.75
21,Huelva,2018,131.5,54.9025,51.20666666666667,46.15,8766.166666666666,2652.0,20827.25
21,Huelva,2019,133.41666666666666,57.1325,54.17666666666667,48.156666666666666,8584.5,2716.0833333333335,20575.5
21,Huelva,2020,86.33333333333333,32.410000000000004,30.168333333333333,27.2,4491.583333333333,1165.25,10115.333333333334
21,Huelva,2021,110.0,45.23833333333334,44.23333333333333,37.96666666666667,5689.25,1846.3333333333333,12693.083333333334
21,Huelva,2022,135.91666666666666,51.62166666666667,52.612500000000004,45.254999999999995,8062.166666666667,2658.0,18658.75
21,Huelva,2023,138.91666666666666,53.24166666666667,54.03583333333333,46.12916666666666,8268.416666666666,2730.1666666666665,19158.0
21,Huelva,2024,138.25,56.5875,56.13166666666667,48.54833333333334,8411.333333333334,2972.5833333333335,19535.916666666668
21,Huelva,2025,127.83333333333333,56.55833333333334,56.56333333333333,48.31,7931.5,2900.4166666666665,18720.5
22,Huesca,2015,303.5,34.45666666666667,44.9925,32.888333333333335,6832.5,1266.0833333333333,13835.0
22,Huesca,2016,299.4166666666667,37.267500000000005,46.8025,35.64416666666667,6917.833333333333,1352.25,13993.416666666666
22,Huesca,2017,300.1666666666667,40.76083333333333,49.41416666666667,39.04083333333333,6905.166666666667,1406.0833333333333,13986.25
22,Huesca,2018,288.0,40.81916666666667,49.30416666666667,38.41416666666667,6564.666666666667,1341.25,13606.333333333334
22,Huesca,2019,285.0833333333333,40.9475,50.96333333333333,38.365,6669.75,1427.0,13895.916666666666
22,Huesca,2020,184.41666666666666,28.708333333333332,31.929999999999996,25.935000000000002,4169.75,800.9166666666666,8736.833333333334
22,Huesca,2021,227.08333333333334,35.038333333333334,38.112500000000004,30.724999999999998,5030.75,951.9166666666666,10611.833333333334
22,Huesca,2022,257.1666666666667,44.395833333333336,50.675000000000004,40.83583333333333,6280.833333333333,1395.8333333333333,13214.5
22,Huesca,2023,250.66666666666666,45.678333333333335,50.642500000000005,40.954166666666666,6214.833333333333,1394.6666666666667,13103.25
22,Huesca,2024,259.4166666666667,45.70250000000001,48.16083333333333,40.204166666666666,6459.5,1459.0833333333333,13724.083333333334
22,Huesca,2025,261.5833333333333,46.62916666666666,51.11916666666667,40.99666666666667,6574.583333333333,1565.5833333333333,14031.25
23,Jaén,2015,186.0,30.72,36.81166666666667,26.86583333333333,4439.416666666667,960.4166666666666,8625.583333333334
23,Jaén,2016,178.41666666666666,33.3125,40.6175,29.061666666666667,4303.5,967.75,8440.416666666666
23,Jaén,2017,174.91666666666666,35.26,41.619166666666665,30.4425,4291.0,950.1666666666666,8489.0
23,Jaén,2018,174.58333333333334,36.44416666666667,42.785,30.891666666666666,4264.666666666667,927.9166666666666,8453.166666666666
23,Jaén,2019,163.91666666666666,35.18833333333333,44.169999999999995,31.010833333333334,4166.25,892.5,8143.333333333333
23,Jaén,2020,107.0,21.289166666666667,21.39,17.871666666666666,2785.4166666666665,566.75,5428.916666666667
23,Jaén,2021,142.0,29.97666666666667,32.505,25.2775,3626.9166666666665,755.25,7038.75
23,Jaén,2022,163.33333333333334,38.08166666666667,44.288333333333334,32.915,4064.4166666666665,928.75,8060.416666666667
23,Jaén,2023,169.16666666666666,38.336666666666666,43.42083333333333,32.79,4118.0,964.6666666666666,8189.083333333333
23,Jaén,2024,165.0,40.615833333333335,46.585,34.729166666666664,4152.0,995.9166666666666,8173.583333333333
23,Jaén,2025,157.5,42.285833333333336,46.62416666666667,35.348333333333336,4115.083333333333,946.5,8139.333333333333
