codigo_provincia,provincia,anio,residencia,variable,valor
08,Barcelona,2020,residentes_extranjero,pernoctaciones,4349227
08,Barcelona,2020,residentes_extranjero,viajeros,1723524
08,Barcelona,2020,total,pernoctaciones,6724605
08,Barcelona,2020,total,viajeros,3007241
08,Barcelona,2021,residentes_espana,pernoctaciones,4672052
08,Barcelona,2021,residentes_espana,viajeros,2282954
08,Barcelona,2021,residentes_extranjero,pernoctaciones,8233961
08,Barcelona,2021,residentes_extranjero,viajeros,2868532
08,Barcelona,2021,total,pernoctaciones,12906011
08,Barcelona,2021,total,viajeros,5151486
08,Barcelona,2022,residentes_espana,pernoctaciones,6799751
08,Barcelona,2022,residentes_espana,viajeros,3320019
