codigo_provincia,provincia,anio,poblacion_hombres,poblacion_mujeres,poblacion_total,poblacion_0_17,poblacion_18_34,poblacion_35_64,poblacion_65_mas,suma_poblacion_edades,edad_media_aprox,pct_0_17,pct_18_34,pct_35_64,pct_65_mas,indice_envejecimiento,tasa_dependencia,pct_mujeres,razon_masculinidad,diferencia_total_edades
33,Asturias,2022,479658,525302,1004960,128944.0,138214.0,465076.0,324248.0,1056482,50.42855155128057,12.830759433211272,13.75318420633657,46.278060818341025,32.26476675688585,251.46420151383546,75.12009149828441,52.27093615666295,91.31090306147702,-51522
33,Asturias,2023,479739,526321,1006060,128071.0,139413.0,461391.0,327828.0,1056703,50.53685378010661,12.729956463829195,13.857324612846153,45.861181241675446,32.585332882730654,255.9736396217723,75.88148547612866,52.31507067172932,91.14950761987457,-50643
06,Badajoz,2015,340525,345725,686250,123042.0,146886.0,288861.0,146434.0,705223,42.86725191889658,17.9296174863388,21.40415300546448,42.092677595628416,21.338287795992713,119.0113944831846,61.84230757756221,50.37887067395264,98.49591438281871,-18973
06,Badajoz,2016,338718,344252,682970,121568.0,142700.0,291074.0,147181.0,702523,43.192407935398556,17.79990336325168,20.89403634127414,42.61885587946762,21.550141294639587,121.06886680705449,61.95599551840359,50.40514224636514,98.39245668870478,-19553
06,Badajoz,2017,336579,342463,679042,120088.0,138505.0,291866.0,149028.0,699487,43.55755146271482,17.684914924260944,20.397118293124727,42.982024675940515,21.946801523322563,124.09899407101459,62.531164971617514,50.43325744210225,98.28185818613981,-20445
06,Badajoz,2018,334679,341063,675742,118783.0,134692.0,292707.0,150920.0,697102,43.88981669827371,17.578158527958895,19.932459429782373,43.3163840637403,22.33396769773079,127.05521833932465,63.10332967554908,50.4723696321969,98.1282050530254,-21360
06,Badajoz,2019,333374,340010,673384,117192.0,131734.0,293683.0,152934.0,695543,44.24057750563229,17.403442909246433,19.562983379468477,43.613005358012664,22.711261330830553,130.49866885111612,63.496757299308676,50.492735200123555,98.04829269727361,-22159
06,Badajoz,2020,332402,339643,672045,115817.0,129479.0,294868.0,154709.0,694873,44.56205522447987,17.233518588784978,19.26641817140221,43.87622852636356,23.020631058932064,133.58056243902018,63.75112820404056,50.53872880536274,97.86805557600186,-22828
06,Badajoz,2021,331856,339236,671092,114435.0,128124.0,295549.0,156312.0,694420,44.8345784971631,17.05205843610116,19.091868179027614,44.04001239770404,23.29218646623712,136.59457333857648,63.904709528339076,50.54985009506893,97.82452334068319,-23328
06,Badajoz,2022,330178,337673,667851,112265.0,126046.0,295255.0,158152.0,691718,45.16317632329938,16.809887235326443,18.87337145560911,44.209711447613316,23.680731181056853,140.87382532401014,64.18617567962099,50.56112815583116,97.78039701130976,-23867
06,Badajoz,2023,329118,336931,666049,110802.0,123692.0,295212.0,159836.0,689542,45.41995556470817,16.63571298808346,18.571006037093365,44.32286513454716,23.997633807722856,144.2537138318803,64.6062104921414,50.58651840930622,97.68112758992197,-23493
07,"Balears, Illes",2015,555297,555705,1111002,202956.0,242829.0,496619.0,191297.0,1133701,41.0665845756509,18.267833901289105,21.856756333471946,44.700099549775786,17.218420848927366,94.25540511243817,53.31720418474321,50.01836180312907,99.92657975004724,-22699
07,"Balears, Illes",2016,558124,559229,1117353,203919.0,237820.0,504250.0,194708.0,1140697,41.293242640245396,18.25018593049824,21.28423157229631,45.12897893503664,17.425826932043858,95.48301041099653,53.718247604673415,50.04944722035024,99.80240652755847,-23344
07,"Balears, Illes",2017,563624,564868,1128492,205490.0,235943.0,512303.0,198838.0,1152574,41.4956861771999,18.209256246388986,20.907813258755933,45.397131747500204,17.619797038880204,96.76285950654533,54.03677400213299,50.05511780322767,99.77977155724878,-24082
07,"Balears, Illes",2018,570092,571141,1141233,206777.0,236466.0,519656.0,203082.0,1165981,41.65508700399063,18.118736489393488,20.720221024102877,45.534610373166565,17.79496386802695,98.21305077450587,54.2054060059091,50.04595906357422,99.81633256936553,-24748
