provincia,anio,trimestre,periodo,valor_transacciones_miles_euros
Barcelona,2020,1,2020-T1,46493.81
Barcelona,2020,2,2020-T2,55487.68
Barcelona,2020,3,2020-T3,69447.65
Barcelona,2020,4,2020-T4,120234.48
Barcelona,2021,1,2021-T1,117391.51
Barcelona,2021,2,2021-T2,146407.71
Barcelona,2021,3,2021-T3,121956.87
Barcelona,2021,4,2021-T4,207566.67
Barcelona,2022,1,2022-T1,161916.37
Barcelona,2022,2,2022-T2,105444.96
Barcelona,2022,3,2022-T3,67208.54
Barcelona,2022,4,2022-T4,118641.71
Barcelona,2023,1,2023-T1,99779.26
Barcelona,2023,2,2023-T2,112519.91
Barcelona,2023,3,2023-T3,73863.98
Barcelona,2023,4,2023-T4,89519.73
Barcelona,2024,1,2024-T1,63135.72
Barcelona,2024,2,2024-T2,109555.13
Barcelona,2024,3,2024-T3,103842.28
Barcelona,2024,4,2024-T4,74176.58
Barcelona,2025,1,2025-T1,109482.44
Barcelona,2025,2,2025-T2,110614.93
Barcelona,2025,3,2025-T3,112107.25
Barcelona,2025,4,2025-T4,155081.51
Barcelona,2026,1,2026-T1,107956.39
Burgos,2004,1,2004-T1,30709.6
Burgos,2004,2,2004-T2,49521.7
Burgos,2004,3,2004-T3,83263.5
Burgos,2004,4,2004-T4,96327.6
Burgos,2005,1,2005-T1,69994.0
Burgos,2005,2,2005-T2,41769.9
Burgos,2005,3,2005-T3,33827.5
Burgos,2005,4,2005-T4,25732.0
Burgos,2006,1,2006-T1,41779.9
Burgos,2006,2,2006-T2,16749.3
Burgos,2006,3,2006-T3,21780.7
Burgos,2006,4,2006-T4,37029.2
Burgos,2007,1,2007-T1,29237.8
Burgos,2007,2,2007-T2,68780.1
Burgos,2007,3,2007-T3,18567.02071
Burgos,2007,4,2007-T4,28071.7
Burgos,2008,1,2008-T1,10821.3
Burgos,2008,2,2008-T2,12385.0
Burgos,2008,3,2008-T3,7383.09
Burgos,2008,4,2008-T4,9195.92
Burgos,2009,1,2009-T1,19016.87
Burgos,2009,2,2009-T2,4072.07
Burgos,2009,3,2009-T3,4764.66
Burgos,2009,4,2009-T4,11680.17
Burgos,2010,1,2010-T1,4184.66
Burgos,2010,2,2010-T2,5520.3
Burgos,2010,3,2010-T3,18882.95
Burgos,2010,4,2010-T4,4381.22
Burgos,2011,1,2011-T1,6274.44
Burgos,2011,2,2011-T2,6923.28
Burgos,2011,3,2011-T3,13748.13
Burgos,2011,4,2011-T4,4672.94
Burgos,2012,1,2012-T1,10475.44
Burgos,2012,2,2012-T2,18678.02
Burgos,2012,3,2012-T3,4359.61
Burgos,2012,4,2012-T4,717.36
Burgos,2013,1,2013-T1,3060.4
Burgos,2013,2,2013-T2,5169.34
Burgos,2013,3,2013-T3,1421.89
Burgos,2013,4,2013-T4,2282.18
Burgos,2014,1,2014-T1,5043.45
Burgos,2014,2,2014-T2,1286.29
Burgos,2014,3,2014-T3,5215.34
Burgos,2014,4,2014-T4,2523.49
Burgos,2015,1,2015-T1,8358.37
Burgos,2015,2,2015-T2,10687.41
Burgos,2015,3,2015-T3,2203.98
Burgos,2015,4,2015-T4,7191.51
Burgos,2016,1,2016-T1,5673.08
Burgos,2016,2,2016-T2,1368.23
Burgos,2016,3,2016-T3,2076.09
Burgos,2016,4,2016-T4,3117.62
Burgos,2017,1,2017-T1,600.26
Burgos,2017,2,2017-T2,8081.54
Burgos,2017,3,2017-T3,6060.17
Burgos,2017,4,2017-T4,3115.13
Burgos,2018,1,2018-T1,9684.06
Burgos,2018,2,2018-T2,17916.28
Burgos,2018,3,2018-T3,4995.09
Burgos,2018,4,2018-T4,10806.38
Burgos,2019,1,2019-T1,2353.71
Burgos,2019,2,2019-T2,1313.62
Burgos,2019,3,2019-T3,1712.5
Burgos,2019,4,2019-T4,1896.51
Burgos,2020,1,2020-T1,1060.17
Burgos,2020,2,2020-T2,1265.94
Burgos,2020,3,2020-T3,4149.7
Burgos,2020,4,2020-T4,4679.17
Burgos,2021,1,2021-T1,3716.81
Burgos,2021,2,2021-T2,4433.34
Burgos,2021,3,2021-T3,3444.72
Burgos,2021,4,2021-T4,9722.24
Burgos,2022,1,2022-T1,4852.56
Burgos,2022,2,2022-T2,8924.17
Burgos,2022,3,2022-T3,3500.68
Burgos,2022,4,2022-T4,4008.73
Burgos,2023,1,2023-T1,2622.61
Burgos,2023,2,2023-T2,12156.88
Burgos,2023,3,2023-T3,4296.16
Burgos,2023,4,2023-T4,5460.84
Burgos,2024,1,2024-T1,3669.84
Burgos,2024,2,2024-T2,8056.4
Burgos,2024,3,2024-T3,3997.29
Burgos,2024,4,2024-T4,3116.14
Burgos,2025,1,2025-T1,2930.19
Burgos,2025,2,2025-T2,8967.36
Burgos,2025,3,2025-T3,9313.62
Burgos,2025,4,2025-T4,6618.73
Burgos,2026,1,2026-T1,11727.95
Castellón/Castelló,2004,1,2004-T1,121740.3
Castellón/Castelló,2004,2,2004-T2,54846.2
Castellón/Castelló,2004,3,2004-T3,73546.4
Castellón/Castelló,2004,4,2004-T4,64206.5
Castellón/Castelló,2005,1,2005-T1,61113.2
Castellón/Castelló,2005,2,2005-T2,129511.1
Castellón/Castelló,2005,3,2005-T3,113797.4
Castellón/Castelló,2005,4,2005-T4,58551.4
Castellón/Castelló,2006,1,2006-T1,66775.3
Castellón/Castelló,2006,2,2006-T2,109394.5
Castellón/Castelló,2006,3,2006-T3,68985.5
Castellón/Castelló,2006,4,2006-T4,59552.4
