provincia,anio,numero_transacciones,n_trimestres_disponibles
Soria,2024,77.0,4
Soria,2025,97.0,4
Soria,2026,14.0,1
Tarragona,2004,3844.0,4
Tarragona,2005,3031.0,4
Tarragona,2006,1713.0,4
Tarragona,2007,1143.0,4
Tarragona,2008,641.0,4
Tarragona,2009,446.0,4
Tarragona,2010,426.0,4
Tarragona,2011,329.0,4
Tarragona,2012,361.0,4
Tarragona,2013,367.0,4
Tarragona,2014,369.0,4
Tarragona,2015,297.0,4
Tarragona,2016,332.0,4
Tarragona,2017,407.0,4
Tarragona,2018,438.0,4
Tarragona,2019,405.0,4
Tarragona,2020,356.0,4
Tarragona,2021,820.0,4
Tarragona,2022,782.0,4
Tarragona,2023,714.0,4
Tarragona,2024,648.0,4
Tarragona,2025,1091.0,4
Tarragona,2026,234.0,1
Teruel,2004,235.0,4
Teruel,2005,224.0,4
Teruel,2006,177.0,4
Teruel,2007,228.0,4
Teruel,2008,177.0,4
Teruel,2009,100.0,4
Teruel,2010,121.0,4
Teruel,2011,76.0,4
Teruel,2012,67.0,4
Teruel,2013,76.0,4
Teruel,2014,74.0,4
Teruel,2015,49.0,4
Teruel,2016,47.0,4
Teruel,2017,52.0,4
Teruel,2018,74.0,4
Teruel,2019,62.0,4
Teruel,2020,67.0,4
Teruel,2021,74.0,4
Teruel,2022,109.0,4
Teruel,2023,58.0,4
Teruel,2024,44.0,4
Teruel,2025,110.0,4
Teruel,2026,40.0,1
Toledo,2004,3542.0,4
Toledo,2005,2933.0,4
Toledo,2006,2503.0,4
Toledo,2007,3479.0,4
Toledo,2008,2491.0,4
Toledo,2009,1434.0,4
Toledo,2010,1249.0,4
Toledo,2011,1148.0,4
Toledo,2012,918.0,4
Toledo,2013,680.0,4
Toledo,2014,674.0,4
Toledo,2015,1023.0,4
Toledo,2016,705.0,4
Toledo,2017,1167.0,4
Toledo,2018,1256.0,4
Toledo,2019,1114.0,4
Toledo,2020,1142.0,4
Toledo,2021,2389.0,4
Toledo,2022,1756.0,4
Toledo,2023,2012.0,4
Toledo,2024,1524.0,4
Toledo,2025,2072.0,4
Toledo,2026,540.0,1
Valencia/València,2004,4470.0,4
Valencia/València,2005,3744.0,4
Valencia/València,2006,2372.0,4
Valencia/València,2007,1711.0,4
Valencia/València,2008,903.0,4
Valencia/València,2009,640.0,4
Valencia/València,2010,619.0,4
Valencia/València,2011,508.0,4
Valencia/València,2012,472.0,4
Valencia/València,2013,405.0,4
Valencia/València,2014,476.0,4
Valencia/València,2015,518.0,4
Valencia/València,2016,649.0,4
Valencia/València,2017,758.0,4
Valencia/València,2018,1076.0,4
Valencia/València,2019,889.0,4
Valencia/València,2020,748.0,4
Valencia/València,2021,1177.0,4
