periodo;codigo_provincia;provincia;comunidad_autonoma;poblacion_total;pct_18_34;pct_35_64;pct_65_mas;tamano_medio_hogar;pct_hogares_unipersonales;pct_poblacion_espanola;tasa_migracion_neta_exterior_por_1000_habitantes;salario_medio_anual_euros_total;salario_medio_anual_euros_hombre;salario_medio_anual_euros_mujer;tasa_actividad_pct_total;tasa_empleo_pct_total;tasa_paro_pct_total;renta_neta_media_por_hogar_eur;renta_mediana_por_unidad_consumo_eur;indice_precios_consumo_base_2015;indice_costes_construccion;tipo_interes_prestamos_vivienda_pct;importe_medio_hipoteca_vivienda_eur;valor_tasado_m2;ipv_general;compraventas_por_1000_hab;pct_compraventas_vivienda_nueva;visados_obra_nueva_por_1000_hab;plazas_hoteleras_por_1000_hab;pernoctaciones_por_habitante;valores_arrastrados;precio_m2_mercado;IAV_hombre;IAV_mujer;brecha_iav_absoluta;IAV_total
2018T2;52;Melilla;Melilla;86084,0;23,226;37,7;11,345;3,2;19,2;84,7;4,03;20972,0;22797,0;18338,0;63,88;46,01;27,96;37829,0;12950,0;103,74;95,373;2,197;135422,22;1613,2;60,928;1,963;4,73;0,511;9,735;0,436;0;1751,447;6,146;7,641;1,494;6,681
2018T3;52;Melilla;Melilla;86084,0;23,226;37,7;11,345;3,2;19,2;84,7;4,03;20972,0;22797,0;18338,0;64,46;48,98;24,01;37829,0;12950,0;102,77;92,553;2,167;131964,29;1604,9;61,757;1,615;8,63;0,697;9,692;0,465;0;1775,277;6,23;7,745;1,515;6,772
2018T4;52;Melilla;Melilla;86084,0;23,226;37,7;11,345;3,2;19,2;84,7;4,03;20972,0;22797,0;18338,0;62,03;47,23;23,85;37829,0;12950,0;103,72;96,513;2,26;115020,0;1653,9;62,385;1,394;7,5;0,534;9,735;0,414;0;1793,33;6,293;7,823;1,53;6,841
2019T1;52;Melilla;Melilla;86373,0;23,299;37,9;11,535;3,2;19,2;84,7;8,63;21666,0;23381,0;19177,0;63,33;46,91;25,92;39730,0;13650,0;101,49;92,79;2,37;123800,0;1687,7;63,976;1,389;14,17;0,625;9,702;0,345;0;1839,065;6,293;7,672;1,379;6,791
2019T2;52;Melilla;Melilla;86373,0;23,299;37,9;11,535;3,2;19,2;84,7;8,63;21666,0;23381,0;19177,0;62,05;45,79;26,21;39730,0;13650,0;103,17;96,067;2,35;129101,85;1641,9;63,385;1,494;10,08;0,602;9,702;0,408;0;1822,076;6,234;7,601;1,367;6,728
2019T3;52;Melilla;Melilla;86373,0;23,299;37,9;11,535;3,2;19,2;84,7;8,63;21666,0;23381,0;19177,0;58,41;41,48;28,99;39730,0;13650,0;102,4;93,19;2,153;122009,9;1613,3;65,073;1,69;9,59;0,475;9,66;0,474;0;1870,6;6,4;7,804;1,403;6,907
2019T4;52;Melilla;Melilla;86373,0;23,299;37,9;11,535;3,2;19,2;84,7;8,63;21666,0;23381,0;19177,0;58,08;42,51;26,81;39730,0;13650,0;103,7;96,93;1,99;103612,5;1667,7;64,439;1,343;9,48;0,614;9,702;0,396;0;1852,375;6,338;7,727;1,389;6,84
2020T1;52;Melilla;Melilla;86558,0;23,243;38,0;11,824;3,3;19,5;85,4;3,5;22042,0;23575,0;19844,0;58,29;44,83;23,09;39868,0;13650,0;101,88;92,617;2,03;135473,21;1624,2;65,737;1,71;8,11;0,497;9,15;0,299;0;1889,687;6,413;7,618;1,206;6,858
2020T2;52;Melilla;Melilla;86558,0;23,243;38,0;11,824;3,3;19,5;85,4;3,5;22042,0;23575,0;19844,0;61,15;46,86;23,37;39868,0;13650,0;103,17;93,307;1,907;123455,7;1647,6;66,518;0,913;12,66;0,439;0,0;0,0;0;1912,138;6,489;7,709;1,22;6,94
2020T3;52;Melilla;Melilla;86558,0;23,243;38,0;11,824;3,3;19,5;85,4;3,5;22042,0;23575,0;19844,0;63,99;48,55;24,14;39868,0;13650,0;102,35;92,713;1,937;149591,55;1684,5;68,239;1,317;15,79;0,543;8,426;0,184;0;1961,61;6,657;7,908;1,252;7,12
2020T4;52;Melilla;Melilla;86558,0;23,243;38,0;11,824;3,3;19,5;85,4;3,5;22042,0;23575,0;19844,0;65,54;49,93;23,83;39868,0;13650,0;103,71;97,763;1,8;133044,25;1657,4;67,934;1,756;28,29;0,451;8,468;0,159;0;1952,843;6,627;7,873;1,246;7,088
2021T1;52;Melilla;Melilla;86450,0;23,196;38,26;12,068;3,3;20,3;86,3;-9,01;22311,0;23750,0;20301,0;62,85;45,37;27,81;41846,0;15050,0;103,87;94,957;1,72;124207,41;1647,5;68,899;2,071;24,58;0,497;8,71;0,183;0;1980,583;6,671;7,805;1,133;7,102
2021T2;52;Melilla;Melilla;86450,0;23,196;38,26;12,068;3,3;20,3;86,3;-9,01;22311,0;23750,0;20301,0;59,99;45,44;24,24;41846,0;15050,0;106,55;100,28;1,62;128187,92;1689,0;70,968;2,047;18,08;0,682;9,057;0,215;0;2040,059;6,872;8,039;1,167;7,315
2021T3;52;Melilla;Melilla;86450,0;23,196;38,26;12,068;3,3;20,3;86,3;-9,01;22311,0;23750,0;20301,0;59,03;45,56;22,82;41846,0;15050,0;106,5;99,757;1,593;151092,86;1699,1;72,784;2,221;19,27;0,81;9,273;0,335;0;2092,262;7,048;8,245;1,197;7,502
2021T4;52;Melilla;Melilla;86450,0;23,196;38,26;12,068;3,3;20,3;86,3;-9,01;22311,0;23750,0;20301,0;61,88;45,47;26,51;41846,0;15050,0;110,16;105,007;1,543;133084,51;1670,1;72,791;1,92;15,66;0,682;9,358;0,288;0;2092,463;7,048;8,246;1,197;7,503
2022T1;52;Melilla;Melilla;84932,0;23,632;38,17;12,505;3,2;20,3;86,7;9,4;22354,0;23662,0;20492,0;59,75;44,57;25,41;43422,0;15750,0;112,1;105,46;1,597;143339,39;1737,7;75,437;2,355;21,0;0,683;9,525;0,248;0;2168,525;7,332;8,466;1,134;7,761
2022T2;52;Melilla;Melilla;84932,0;23,632;38,17;12,505;3,2;20,3;86,7;9,4;22354,0;23662,0;20492,0;61,44;43,49;29,21;43422,0;15750,0;116,35;114,52;1,737;126825,0;1772,2;77,168;1,366;12,93;0,648;9,525;0,332;0;2218,285;7,5;8,66;1,16;7,939
2022T3;52;Melilla;Melilla;84932,0;23,632;38,17;12,505;3,2;20,3;86,7;9,4;22354,0;23662,0;20492,0;57,82;44,61;22,84;43422,0;15750,0;117,05;110,537;2,143;158139,39;1765,4;78,1;2,343;15,08;0,565;9,525;0,417;0;2245,076;7,59;8,765;1,174;8,035
2022T4;52;Melilla;Melilla;84932,0;23,632;38,17;12,505;3,2;20,3;86,7;9,4;22354,0;23662,0;20492,0;55,22;40,78;26,15;43422,0;15750,0;118,16;115,007;2,867;133054,55;1814,7;78,632;1,801;17,65;0,542;9,525;0,346;0;2260,369;7,642;8,824;1,182;8,089
2023T1;52;Melilla;Melilla;85493,0;23,69;38,22;12,969;3,2;20,7;87,2;6,71;23275,0;24501,0;21516,0;54,68;37,84;30,8;45989,0;17150,0;119,27;112,827;3,593;131456,9;1797,9;80,139;1,556;20,3;0,901;9,463;0,303;0;2303,69;7,522;8,565;1,044;7,918
2023T2;52;Melilla;Melilla;85493,0;23,69;38,22;12,969;3,2;20,7;87,2;6,71;23275,0;24501,0;21516,0;54,89;42,51;22,55;45989,0;17150,0;121,7;116,6;3,887;140922,33;1814,8;81,908;1,731;22,97;0,55;9,377;0,372;0;2354,542;7,688;8,755;1,067;8,093
