codigo_provincia,provincia,anio,sexo,variable,valor
04,Almería,2024,mujeres,tasa_empleo_pct,44.045
04,Almería,2024,mujeres,tasa_paro_pct,16.7075
04,Almería,2024,total,tasa_actividad_pct,60.265
04,Almería,2024,total,tasa_empleo_pct,51.0525
04,Almería,2024,total,tasa_paro_pct,15.285
04,Almería,2025,hombres,tasa_actividad_pct,65.31
04,Almería,2025,hombres,tasa_empleo_pct,56.5075
04,Almería,2025,hombres,tasa_paro_pct,13.475
04,Almería,2025,mujeres,tasa_actividad_pct,53.79
04,Almería,2025,mujeres,tasa_empleo_pct,46.075
04,Almería,2025,mujeres,tasa_paro_pct,14.3525
04,Almería,2025,total,tasa_actividad_pct,59.66
04,Almería,2025,total,tasa_empleo_pct,51.3925
04,Almería,2025,total,tasa_paro_pct,13.8625
05,Ávila,2015,hombres,tasa_actividad_pct,59.545
05,Ávila,2015,hombres,tasa_empleo_pct,46.5075
05,Ávila,2015,hombres,tasa_paro_pct,21.8825
05,Ávila,2015,mujeres,tasa_actividad_pct,47.557500000000005
05,Ávila,2015,mujeres,tasa_empleo_pct,35.985
05,Ávila,2015,mujeres,tasa_paro_pct,24.4075
05,Ávila,2015,total,tasa_actividad_pct,53.614999999999995
05,Ávila,2015,total,tasa_empleo_pct,41.3
05,Ávila,2015,total,tasa_paro_pct,22.985
05,Ávila,2016,hombres,tasa_actividad_pct,61.485
05,Ávila,2016,hombres,tasa_empleo_pct,49.31
05,Ávila,2016,hombres,tasa_paro_pct,19.805
05,Ávila,2016,mujeres,tasa_actividad_pct,50.2225
05,Ávila,2016,mujeres,tasa_empleo_pct,38.69
05,Ávila,2016,mujeres,tasa_paro_pct,22.9925
05,Ávila,2016,total,tasa_actividad_pct,55.91
05,Ávila,2016,total,tasa_empleo_pct,44.05
05,Ávila,2016,total,tasa_paro_pct,21.2325
05,Ávila,2017,hombres,tasa_actividad_pct,61.5175
05,Ávila,2017,hombres,tasa_empleo_pct,51.5325
05,Ávila,2017,hombres,tasa_paro_pct,16.22
05,Ávila,2017,mujeres,tasa_actividad_pct,49.525
05,Ávila,2017,mujeres,tasa_empleo_pct,39.535
05,Ávila,2017,mujeres,tasa_paro_pct,20.145
05,Ávila,2017,total,tasa_actividad_pct,55.585
05,Ávila,2017,total,tasa_empleo_pct,45.5925
05,Ávila,2017,total,tasa_paro_pct,17.965
05,Ávila,2018,hombres,tasa_actividad_pct,59.305
05,Ávila,2018,hombres,tasa_empleo_pct,49.6075
05,Ávila,2018,hombres,tasa_paro_pct,16.3325
05,Ávila,2018,mujeres,tasa_actividad_pct,47.0925
05,Ávila,2018,mujeres,tasa_empleo_pct,39.3125
05,Ávila,2018,mujeres,tasa_paro_pct,16.5325
05,Ávila,2018,total,tasa_actividad_pct,53.260000000000005
05,Ávila,2018,total,tasa_empleo_pct,44.51
05,Ávila,2018,total,tasa_paro_pct,16.4225
05,Ávila,2019,hombres,tasa_actividad_pct,59.4425
05,Ávila,2019,hombres,tasa_empleo_pct,50.815
05,Ávila,2019,hombres,tasa_paro_pct,14.530000000000001
05,Ávila,2019,mujeres,tasa_actividad_pct,45.9825
05,Ávila,2019,mujeres,tasa_empleo_pct,39.16
05,Ávila,2019,mujeres,tasa_paro_pct,14.89
05,Ávila,2019,total,tasa_actividad_pct,52.775
05,Ávila,2019,total,tasa_empleo_pct,45.04
05,Ávila,2019,total,tasa_paro_pct,14.7025
05,Ávila,2020,hombres,tasa_actividad_pct,60.9125
05,Ávila,2020,hombres,tasa_empleo_pct,53.707499999999996
05,Ávila,2020,hombres,tasa_paro_pct,11.822500000000002
05,Ávila,2020,mujeres,tasa_actividad_pct,47.677499999999995
05,Ávila,2020,mujeres,tasa_empleo_pct,39.152499999999996
05,Ávila,2020,mujeres,tasa_paro_pct,17.835
05,Ávila,2020,total,tasa_actividad_pct,54.36
