codigo_provincia,provincia,anio,pernoctaciones_residentes_espana,viajeros_residentes_espana,pernoctaciones_residentes_extranjero,viajeros_residentes_extranjero,pernoctaciones_total,viajeros_total,estancia_media_total,estancia_media_residentes_espana,estancia_media_residentes_extranjero
11,Cádiz,2018,4299525,1672042,3470559,976067,7770084,2648107,2.934203187408968,2.5714216508915446,3.555656527676891
11,Cádiz,2019,4610598,1796854,3404368,995131,8014966,2791986,2.8707042227289103,2.56592800528034,3.4210249705817626
11,Cádiz,2020,2464787,1005218,608463,228537,3073251,1233757,2.49096945346612,2.4519925031187264,2.6624266530146103
11,Cádiz,2021,4209651,1546304,1206036,360818,5415687,1907123,2.839715634492374,2.722395466868093,3.342505085666458
11,Cádiz,2022,4941047,1904836,2752709,786943,7693754,2691778,2.858242395918237,2.593948770392832,3.497977617184472
11,Cádiz,2023,5113255,2000438,3021286,888577,8134543,2889014,2.815681405489901,2.556067721169064,3.4001397740432173
11,Cádiz,2024,5216651,1930677,3235022,922469,8451672,2853147,2.9622280240029695,2.701980186224832,3.50691676359856
11,Cádiz,2025,5441604,1999203,3291070,935338,8732675,2934543,2.9758211074092284,2.721886671838728,3.5185890020505957
12,Castellón/Castelló,2015,3000048,916491,558430,175030,3558476,1091521,3.2601076845979144,3.273406940166352,3.1904816317202767
12,Castellón/Castelló,2016,3216933,1006217,549020,181213,3765951,1187429,3.171516781213866,3.1970568972696745,3.029694337602711
12,Castellón/Castelló,2017,3297738,1018180,625994,197846,3923734,1216027,3.2266832891046007,3.2388556050992947,3.164046783862196
12,Castellón/Castelló,2018,3242443,1018769,575134,194459,3817579,1213230,3.14662430042119,3.182706776511653,2.9576106017206714
12,Castellón/Castelló,2019,3350397,1057987,591521,210239,3941918,1268226,3.10821415110556,3.1667657542105907,2.813564562236312
12,Castellón/Castelló,2020,1143694,434473,145781,61926,1289475,496403,2.5976374034806398,2.632370711183434,2.354116203210283
12,Castellón/Castelló,2021,2165439,756464,273473,101911,2438912,858374,2.841316256084178,2.8625803739503795,2.683449284179333
12,Castellón/Castelló,2022,2748562,924250,568367,203698,3316930,1127949,2.940673736135233,2.973829591560725,2.79024339954246
12,Castellón/Castelló,2023,2739994,935296,623575,225304,3363566,1160600,2.8981268309495087,2.929547437388805,2.7677049675105634
12,Castellón/Castelló,2024,3011970,970499,650528,243469,3662499,1213968,3.016965027084734,3.1035271545874856,2.6719130566930493
12,Castellón/Castelló,2025,3194128,1042923,697249,253575,3891374,1296499,3.001447745042611,3.0626690561048133,2.7496756383712904
13,Ciudad Real,2015,552894,323714,76035,44338,628928,368053,1.7087973742912026,1.7079706160376134,1.7148946727412153
13,Ciudad Real,2016,596845,353437,75735,44363,672579,397797,1.6907593571595563,1.688688507428481,1.7071658814778081
13,Ciudad Real,2017,637571,371809,78956,49366,716531,421174,1.7012707337110078,1.7147809762539368,1.5994003970343962
13,Ciudad Real,2018,637698,379752,97999,57645,735701,437397,1.6819982761655887,1.6792485622195539,1.7000433688958279
13,Ciudad Real,2019,624551,371593,98193,60385,722744,431976,1.6731114691556939,1.680739411129919,1.6261157572244762
13,Ciudad Real,2020,261339,161078,31062,16334,292402,177411,1.6481616134287052,1.6224375768261339,1.9016774825517326
13,Ciudad Real,2021,447188,273465,47001,24772,494188,298241,1.6570089290204901,1.6352659389684236,1.8973437752300986
13,Ciudad Real,2022,636850,378768,83106,45658,719957,424427,1.696303486818699,1.681372238415072,1.8201848525997635
13,Ciudad Real,2023,637977,378647,84223,53176,722202,431824,1.6724452554744527,1.6848859227723976,1.5838536181736123
13,Ciudad Real,2024,649576,371318,89808,56971,739386,428287,1.7263797406879031,1.7493792382809343,1.5763809657545067
13,Ciudad Real,2025,668186,391430,104078,60328,772261,451756,1.7094648438537619,1.7070382954806733,1.7252022278212438
14,Córdoba,2015,1098008,650848,750035,484417,1848041,1135263,1.6278527530625062,1.6870421357982202,1.5483251000687424
14,Córdoba,2016,1181126,696015,752775,490894,1933906,1186908,1.629364702234714,1.6969835420213646,1.5334776957958338
14,Córdoba,2017,1218678,715889,779889,518156,1998567,1234045,1.6195252199068915,1.7023281542250266,1.505123939508565
14,Córdoba,2018,1219292,702256,737387,478463,1956680,1180719,1.6571936252402137,1.7362500284796427,1.5411578324760744
14,Córdoba,2019,1252788,725475,802916,490244,2055705,1215718,1.6909390171075858,1.7268520624418484,1.6377885297933275
14,Córdoba,2020,514768,293691,166022,94387,680790,388077,1.75426526179083,1.7527537445818906,1.7589498553826268
14,Córdoba,2021,826939,470032,254505,148639,1081443,618672,1.748007021491194,1.7593248970282875,1.7122356851162885
14,Córdoba,2022,1175556,667792,609025,,1784583,1032819,1.7278758427178431,1.7603625080863503,
14,Córdoba,2023,1234131,692396,707718,433951,1941850,1126345,1.7240277179727348,1.7824063108394619,1.6308707665151134
14,Córdoba,2024,1162415,655898,837373,499367,1999785,1155267,1.7310154276024503,1.7722496485734063,1.6768689160477164
14,Córdoba,2025,1182954,678393,805001,490217,1987955,1168611,1.7011263799502143,1.7437591484581947,1.6421319538082115
