codigo_provincia,provincia,provincia_original,anio,tipo_edificacion,tipo_dato,valor,valor_original,edificacion_normalizada,dato_normalizado,variable
13,Ciudad Real,13 Ciudad Real,2015,Vivienda colectiva,Índice,100.0,"100,000",colectiva,indice,ipva_indice_colectiva
13,Ciudad Real,13 Ciudad Real,2015,Vivienda unifamiliar,Índice,100.0,"100,000",unifamiliar,indice,ipva_indice_unifamiliar
13,Ciudad Real,13 Ciudad Real,2016,Total,Variación anual,1.5,"1,5",general,variacion_anual,ipva_variacion_anual_general
13,Ciudad Real,13 Ciudad Real,2016,Vivienda colectiva,Variación anual,1.6,"1,6",colectiva,variacion_anual,ipva_variacion_anual_colectiva
13,Ciudad Real,13 Ciudad Real,2016,Vivienda unifamiliar,Variación anual,0.9,"0,9",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
13,Ciudad Real,13 Ciudad Real,2016,Total,Índice,101.519,"101,519",general,indice,ipva_indice_general
13,Ciudad Real,13 Ciudad Real,2016,Vivienda colectiva,Índice,101.633,"101,633",colectiva,indice,ipva_indice_colectiva
13,Ciudad Real,13 Ciudad Real,2016,Vivienda unifamiliar,Índice,100.916,"100,916",unifamiliar,indice,ipva_indice_unifamiliar
13,Ciudad Real,13 Ciudad Real,2017,Total,Variación anual,0.5,"0,5",general,variacion_anual,ipva_variacion_anual_general
13,Ciudad Real,13 Ciudad Real,2017,Vivienda colectiva,Variación anual,0.4,"0,4",colectiva,variacion_anual,ipva_variacion_anual_colectiva
13,Ciudad Real,13 Ciudad Real,2017,Vivienda unifamiliar,Variación anual,1.1,"1,1",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
13,Ciudad Real,13 Ciudad Real,2017,Total,Índice,102.058,"102,058",general,indice,ipva_indice_general
13,Ciudad Real,13 Ciudad Real,2017,Vivienda colectiva,Índice,102.065,"102,065",colectiva,indice,ipva_indice_colectiva
13,Ciudad Real,13 Ciudad Real,2017,Vivienda unifamiliar,Índice,102.038,"102,038",unifamiliar,indice,ipva_indice_unifamiliar
13,Ciudad Real,13 Ciudad Real,2018,Total,Variación anual,1.3,"1,3",general,variacion_anual,ipva_variacion_anual_general
13,Ciudad Real,13 Ciudad Real,2018,Vivienda colectiva,Variación anual,1.4,"1,4",colectiva,variacion_anual,ipva_variacion_anual_colectiva
13,Ciudad Real,13 Ciudad Real,2018,Vivienda unifamiliar,Variación anual,0.9,"0,9",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
13,Ciudad Real,13 Ciudad Real,2018,Total,Índice,103.387,"103,387",general,indice,ipva_indice_general
13,Ciudad Real,13 Ciudad Real,2018,Vivienda colectiva,Índice,103.476,"103,476",colectiva,indice,ipva_indice_colectiva
13,Ciudad Real,13 Ciudad Real,2018,Vivienda unifamiliar,Índice,102.936,"102,936",unifamiliar,indice,ipva_indice_unifamiliar
13,Ciudad Real,13 Ciudad Real,2019,Total,Variación anual,2.4,"2,4",general,variacion_anual,ipva_variacion_anual_general
13,Ciudad Real,13 Ciudad Real,2019,Vivienda colectiva,Variación anual,2.8,"2,8",colectiva,variacion_anual,ipva_variacion_anual_colectiva
13,Ciudad Real,13 Ciudad Real,2019,Vivienda unifamiliar,Variación anual,0.3,"0,3",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
13,Ciudad Real,13 Ciudad Real,2019,Total,Índice,105.898,"105,898",general,indice,ipva_indice_general
13,Ciudad Real,13 Ciudad Real,2019,Vivienda colectiva,Índice,106.424,"106,424",colectiva,indice,ipva_indice_colectiva
13,Ciudad Real,13 Ciudad Real,2019,Vivienda unifamiliar,Índice,103.228,"103,228",unifamiliar,indice,ipva_indice_unifamiliar
13,Ciudad Real,13 Ciudad Real,2020,Total,Variación anual,1.1,"1,1",general,variacion_anual,ipva_variacion_anual_general
13,Ciudad Real,13 Ciudad Real,2020,Vivienda colectiva,Variación anual,1.0,"1,0",colectiva,variacion_anual,ipva_variacion_anual_colectiva
13,Ciudad Real,13 Ciudad Real,2020,Vivienda unifamiliar,Variación anual,1.5,"1,5",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
13,Ciudad Real,13 Ciudad Real,2020,Total,Índice,107.075,"107,075",general,indice,ipva_indice_general
13,Ciudad Real,13 Ciudad Real,2020,Vivienda colectiva,Índice,107.531,"107,531",colectiva,indice,ipva_indice_colectiva
13,Ciudad Real,13 Ciudad Real,2020,Vivienda unifamiliar,Índice,104.764,"104,764",unifamiliar,indice,ipva_indice_unifamiliar
13,Ciudad Real,13 Ciudad Real,2021,Total,Variación anual,1.9,"1,9",general,variacion_anual,ipva_variacion_anual_general
13,Ciudad Real,13 Ciudad Real,2021,Vivienda colectiva,Variación anual,2.1,"2,1",colectiva,variacion_anual,ipva_variacion_anual_colectiva
13,Ciudad Real,13 Ciudad Real,2021,Vivienda unifamiliar,Variación anual,0.9,"0,9",unifamiliar,variacion_anual,ipva_variacion_anual_unifamiliar
13,Ciudad Real,13 Ciudad Real,2021,Total,Índice,109.08,"109,080",general,indice,ipva_indice_general
