provincia,anio,trimestre,periodo,numero_transacciones
Albacete,2021,2,2021-T2,52.0
Albacete,2021,3,2021-T3,44.0
Albacete,2021,4,2021-T4,35.0
Albacete,2022,1,2022-T1,61.0
Albacete,2022,2,2022-T2,33.0
Albacete,2022,3,2022-T3,35.0
Albacete,2022,4,2022-T4,30.0
Albacete,2023,1,2023-T1,38.0
Albacete,2023,2,2023-T2,36.0
Albacete,2023,3,2023-T3,36.0
Albacete,2023,4,2023-T4,28.0
Albacete,2024,1,2024-T1,42.0
Albacete,2024,2,2024-T2,51.0
Albacete,2024,3,2024-T3,46.0
Albacete,2024,4,2024-T4,32.0
Albacete,2025,1,2025-T1,39.0
Albacete,2025,2,2025-T2,59.0
Albacete,2025,3,2025-T3,51.0
Albacete,2025,4,2025-T4,50.0
Albacete,2026,1,2026-T1,60.0
Alicante/Alacant,2004,1,2004-T1,803.0
Alicante/Alacant,2004,2,2004-T2,671.0
Alicante/Alacant,2004,3,2004-T3,525.0
Alicante/Alacant,2004,4,2004-T4,594.0
Alicante/Alacant,2005,1,2005-T1,394.0
Alicante/Alacant,2005,2,2005-T2,345.0
Alicante/Alacant,2005,3,2005-T3,339.0
Alicante/Alacant,2005,4,2005-T4,247.0
Alicante/Alacant,2006,1,2006-T1,273.0
Alicante/Alacant,2006,2,2006-T2,264.0
Alicante/Alacant,2006,3,2006-T3,246.0
Alicante/Alacant,2006,4,2006-T4,378.0
Alicante/Alacant,2007,1,2007-T1,244.0
Alicante/Alacant,2007,2,2007-T2,327.0
Alicante/Alacant,2007,3,2007-T3,228.0
Alicante/Alacant,2007,4,2007-T4,242.0
Alicante/Alacant,2008,1,2008-T1,181.0
Alicante/Alacant,2008,2,2008-T2,159.0
Alicante/Alacant,2008,3,2008-T3,177.0
Alicante/Alacant,2008,4,2008-T4,163.0
Alicante/Alacant,2009,1,2009-T1,149.0
Alicante/Alacant,2009,2,2009-T2,159.0
Alicante/Alacant,2009,3,2009-T3,91.0
Alicante/Alacant,2009,4,2009-T4,142.0
Alicante/Alacant,2010,1,2010-T1,122.0
Alicante/Alacant,2010,2,2010-T2,126.0
Alicante/Alacant,2010,3,2010-T3,87.0
Alicante/Alacant,2010,4,2010-T4,130.0
Alicante/Alacant,2011,1,2011-T1,79.0
Alicante/Alacant,2011,2,2011-T2,85.0
Alicante/Alacant,2011,3,2011-T3,102.0
Alicante/Alacant,2011,4,2011-T4,108.0
Alicante/Alacant,2012,1,2012-T1,66.0
Alicante/Alacant,2012,2,2012-T2,88.0
Alicante/Alacant,2012,3,2012-T3,99.0
Alicante/Alacant,2012,4,2012-T4,83.0
Alicante/Alacant,2013,1,2013-T1,66.0
Alicante/Alacant,2013,2,2013-T2,96.0
Alicante/Alacant,2013,3,2013-T3,84.0
Alicante/Alacant,2013,4,2013-T4,119.0
Alicante/Alacant,2014,1,2014-T1,95.0
Alicante/Alacant,2014,2,2014-T2,193.0
Alicante/Alacant,2014,3,2014-T3,148.0
Alicante/Alacant,2014,4,2014-T4,156.0
Alicante/Alacant,2015,1,2015-T1,124.0
Alicante/Alacant,2015,2,2015-T2,131.0
Alicante/Alacant,2015,3,2015-T3,177.0
Alicante/Alacant,2015,4,2015-T4,122.0
Alicante/Alacant,2016,1,2016-T1,199.0
Alicante/Alacant,2016,2,2016-T2,155.0
Alicante/Alacant,2016,3,2016-T3,302.0
Alicante/Alacant,2016,4,2016-T4,190.0
Alicante/Alacant,2017,1,2017-T1,149.0
Alicante/Alacant,2017,2,2017-T2,226.0
Alicante/Alacant,2017,3,2017-T3,164.0
Alicante/Alacant,2017,4,2017-T4,164.0
Alicante/Alacant,2018,1,2018-T1,177.0
Alicante/Alacant,2018,2,2018-T2,171.0
Alicante/Alacant,2018,3,2018-T3,113.0
Alicante/Alacant,2018,4,2018-T4,137.0
Alicante/Alacant,2019,1,2019-T1,162.0
Alicante/Alacant,2019,2,2019-T2,136.0
Alicante/Alacant,2019,3,2019-T3,141.0
Alicante/Alacant,2019,4,2019-T4,143.0
Alicante/Alacant,2020,1,2020-T1,106.0
Alicante/Alacant,2020,2,2020-T2,89.0
Alicante/Alacant,2020,3,2020-T3,97.0
Alicante/Alacant,2020,4,2020-T4,130.0
Alicante/Alacant,2021,1,2021-T1,133.0
Alicante/Alacant,2021,2,2021-T2,161.0
Alicante/Alacant,2021,3,2021-T3,141.0
Alicante/Alacant,2021,4,2021-T4,208.0
Alicante/Alacant,2022,1,2022-T1,199.0
Alicante/Alacant,2022,2,2022-T2,182.0
Alicante/Alacant,2022,3,2022-T3,149.0
Alicante/Alacant,2022,4,2022-T4,179.0
Alicante/Alacant,2023,1,2023-T1,142.0
Alicante/Alacant,2023,2,2023-T2,204.0
Alicante/Alacant,2023,3,2023-T3,131.0
Alicante/Alacant,2023,4,2023-T4,216.0
Alicante/Alacant,2024,1,2024-T1,179.0
Alicante/Alacant,2024,2,2024-T2,173.0
Alicante/Alacant,2024,3,2024-T3,222.0
Alicante/Alacant,2024,4,2024-T4,97.0
Alicante/Alacant,2025,1,2025-T1,169.0
Alicante/Alacant,2025,2,2025-T2,247.0
Alicante/Alacant,2025,3,2025-T3,300.0
