provincia,anio,trimestre,periodo,precio_suelo_m2
Castellón/Castelló,2010,1,2010-T1,272.68
Castellón/Castelló,2010,2,2010-T2,288.85
Castellón/Castelló,2010,3,2010-T3,276.88
Castellón/Castelló,2010,4,2010-T4,244.58
Castellón/Castelló,2011,1,2011-T1,327.56
Castellón/Castelló,2011,2,2011-T2,201.16
Castellón/Castelló,2011,3,2011-T3,159.61
Castellón/Castelló,2011,4,2011-T4,188.95
Castellón/Castelló,2012,1,2012-T1,229.02
Castellón/Castelló,2012,2,2012-T2,256.7
Castellón/Castelló,2012,3,2012-T3,254.34
Castellón/Castelló,2012,4,2012-T4,194.14
Castellón/Castelló,2013,1,2013-T1,212.51
Castellón/Castelló,2013,2,2013-T2,140.6
